lga,elevation_above_sea_level,Australian_Statistical_Geography_2016_ID,lgaLabel
http://www.wikidata.org/entity/Q2156191,10,LGA46860,Robe
http://www.wikidata.org/entity/Q2254542,10,SSC11966,Huskisson
http://www.wikidata.org/entity/Q14966,10,SSC41195,Port Pirie
http://www.wikidata.org/entity/Q459900,10,SSC22093,Port Fairy
http://www.wikidata.org/entity/Q509716,10,SSC12475,Manly
http://www.wikidata.org/entity/Q576377,10,SSC41178,Port Broughton
http://www.wikidata.org/entity/Q605113,10,SSC11722,Gosford
http://www.wikidata.org/entity/Q690795,10,SSC31414,Innisfail
http://www.wikidata.org/entity/Q747477,10,LGA25900,City of Port Phillip
http://www.wikidata.org/entity/Q895407,10,SSC30344,Bowen
http://www.wikidata.org/entity/Q1002650,10,SSC14187,Watsons Bay
http://www.wikidata.org/entity/Q1004830,10,SSC51235,Pinjarra
http://www.wikidata.org/entity/Q1476602,10,LGA22750,City of Greater Geelong
http://www.wikidata.org/entity/Q1948315,10,LGA35250,Shire of Mornington
http://www.wikidata.org/entity/Q2646672,10,SSC60354,Low Head
http://www.wikidata.org/entity/Q3005485,10,SSC11135,Croydon Park
http://www.wikidata.org/entity/Q3484027,10,SSC13547,Silverwater
http://www.wikidata.org/entity/Q4975861,10,SSC10608,Broulee
